Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Zhiqiang WU,1496.296489743042,1,2014,CHN,10-Apr-94
Ee Foo YEO GARY,1496.2794784418652,2,2012,SGP,30-Aug-86
Calvin Kang LI LOONG,1496.1950626229332,1,2013,SGP,16-Apr-90
Shernyl BURNS,1496.1105814133762,1,2013,MNT,11-Oct-91
Daniel TALBOT,1495.942963677167,1,2014,GBR,1-May-91
Pascal MANCINI,1495.7294419017076,2,2014,SUI,18-Apr-89
James DASAOLU,1495.6742305608448,18,2016,GBR,5-Sep-87
Mark LEWIS-FRANCIS,1495.4327689213233,9,2013,GBR,4-Sep-82
Justyn WARNER,1495.4121085935672,9,2015,CAN,28-Jun-87
Jaysuma SAIDY NDURE,1495.1032334295578,18,2014,NOR,1-Jul-84
Shavez HART,1495.0501546766072,2,2016,BAH,6-Sep-92
Levi Asher CADOGAN,1494.93374013221,2,2015,BAR,8-Nov-95
Jeffrey VANAN,1494.7951580668132,1,2015,SUR,21-Dec-92
Jacques RIPARELLI,1494.7288062680213,1,2015,ITA,27-Mar-83
Calesio NEWMAN,1494.529735963482,4,2015,USA,20-Aug-86
Trell KIMMONS,1494.446240296434,27,2015,USA,13-Jul-85
Guy-Elphege ANOUMAN,1493.8115181566736,1,2015,FRA,13-Jun-94
Emmanuel MATADI,1493.774454595896,1,2016,LBR,15-Apr-91
Charles SILMON,1493.7522512311923,5,2015,USA,4-Jul-91
Justin WALKER,1493.7170501854234,1,2015,USA,30-Nov-90
Andrew ROBERTSON,1493.6415002130675,2,2015,GBR,17-Dec-90
Keston BLEDMAN,1493.6090740082523,28,2016,TTO,8-Mar-88
Joseph MORRIS,1493.5408864531782,1,2015,USA,4-Oct-89
Yazaldes NASCIMENTO,1493.2064752047008,1,2015,POR,17-Apr-86
Keith RICKS,1492.9970352261043,1,2015,USA,9-Oct-90
Sean SAFO-ANTWI,1492.6293361290736,1,2016,GHA,31-Oct-90
Yendountien TIEBEKABE,1492.6012829225488,1,2015,TOG,18-Jan-91
